Lat,Lon
48.4113,-112.8352
18.0057,-65.804
48.6163,-113.4784
48.5379,-114.0702
48.5843,-111.0188
48.612,-110.7939
48.6286,-109.4629
48.6068,-114.9123
48.4489,-112.9705
48.6548,-113.965
18.5721,-66.5401
48.3734,-111.5245
17.6398,-64.7246
48.5765,-112.1932
48.4407,-113.3159
48.2286,-104.5863
48.5675,-112.402
48.6139,-112.4357
48.4434,-108.827
48.3104,-107.2529
48.4967,-111.5762
48.6618,-112.9589
18.2464,-65.5043
48.7428,-114.3986
48.5188,-113.779
48.3049,-108.222
48.3501,-108.3195
48.6956,-115.575
48.4519,-107.2011
17.6752,-64.7686
48.5096,-112.524
18.5434,-66.1488
48.4151,-106.9957
48.7171,-113.1614
48.4799,-113.3403
48.5001,-112.1144
48.6321,-111.9672
48.4586,-114.3365
48.4705,-109.5351
48.4019,-111.0946
48.6508,-109.8952
48.4883,-112.1043
48.8323,-107.557
48.623,-112.9262
48.4469,-109.3029
42.5242,-82.3062
48.7143,-114.772
18.2748,-65.586
48.3774,-110.5493
48.6207,-112.0084
48.618,-109.4976
48.527,-112.7477
48.5329,-111.4423
48.7814,-110.7543
48.5298,-109.8247
48.667,-112.4248
48.5873,-114.036
48.6529,-113.0624
48.5892,-108.8336
48.4555,-111.4373
48.4054,-105.1558
48.7923,-109.256
48.5356,-110.1323
33.1382,-103.1552
48.4772,-111.6865
48.5789,-112.6311
48.4827,-110.3438
48.4282,-108.7302
48.574,-110.2779
48.4914,-107.244
48.326,-103.4189
48.5478,-111.3386
48.5113,-108.6771
48.5409,-110.2089
47.3142,-101.4215
48.4311,-110.7551
48.7046,-114.9824
48.7764,-113.9575
48.7103,-111.6019
48.2876,-103.3003
35.5421,-97.9102
48.6712,-110.6605
48.6695,-111.7772
48.5818,-113.2292
48.6595,-111.6686
48.544,-114.9297
48.5708,-110.7508
48.6454,-115.0434
48.4382,-112.5288
48.6264,-114.1635
48.5246,-111.486
48.7077,-113.3258
48.3941,-109.2142
48.5497,-109.7527
48.4864,-111.5763
48.2761,-106.1651
48.6352,-114.1692
17.8406,-65.2098
48.6903,-111.6399
18.3901,-65.9655
48.6094,-111.0352
48.7603,-114.8586
48.6762,-114.9668
48.3379,-106.7166
48.3164,-105.2904
48.3872,-108.4204
48.4941,-110.6824
48.6646,-113.9758
48.4684,-106.5872
48.7019,-115.106
26.1065,-99.5243
48.7491,-112.9056
48.7534,-113.7663
48.1841,-104.3351
48.5969,-111.4648
48.7338,-115.9903
47.2792,-106.0496
48.8141,-115.622
48.6926,-114.9777
48.5517,-109.6678
48.1434,-103.4338
48.5647,-113.4651
48.7646,-114.4896
48.1351,-105.9168
48.5079,-109.3547
48.6869,-114.9038
48.5584,-114.0953
48.7566,-114.57
37.4652,-91.3571
48.9927,-110.7233
47.2982,-104.0397
47.5676,-104.1728
48.725,-113.844
48.8045,-113.7762
48.8522,-114.4725
48.7372,-114.2675
48.6049,-111.6339
42.4044,-82.2116
47.3404,-106.7632
48.791,-114.2645
48.7685,-114.3041
18.2244,-65.5302
48.7516,-109.5911
48.5938,-113.9821
47.1753,-103.8267
48.657,-112.1778
26.0776,-104.0708
48.4088,-109.4584
48.6303,-110.6296
48.7406,-114.4957
48.4223,-110.4153
35.5769,-99.8334
48.3661,-104.6272
47.3537,-105.6631
48.1918,-100.6586
48.5989,-114.2425
48.6431,-113.3999
31.3084,-102.2561
48.7125,-111.5044
48.37,-108.8018
47.2428,-106.529
42.8724,-89.2845
48.3601,-108.4463
42.3667,-82.2696
47.3862,-106.4515
48.3439,-107.441
47.2624,-107.7563
48.5612,-111.0102
48.591,-109.1124
48.7459,-113.8846
34.9997,-105.5827
48.0956,-105.6414
43.0947,-92.5126
48.7232,-114.7817
18.4706,-65.8761
45.6032,-102.2368
18.122,-65.9253
48.1714,-102.6957
48.4733,-107.5809
47.1659,-102.0006
47.2393,-105.3669
48.2226,-105.2984
48.4341,-106.4434
48.6401,-112.1871
48.6985,-112.794
48.7988,-114.6704
47.2496,-107.0409
48.8086,-115.3914
47.5566,-104.6427
48.8202,-115.9352
48.6824,-114.513
31.5178,-104.3417
42.4424,-82.2707
48.521,-111.8688
48.9868,-113.4915
25.0967,-100.1817
48.7734,-117.8971
33.2804,-102.7694
48.2596,-108.2491
47.3466,-103.5242
26.1424,-101.5162
42.6822,-81.2741
48.8177,-114.8497
30.1717,-86.3921
47.3732,-103.6322
47.1903,-104.9346
47.926,-101.8254
30.1247,-88.4539
48.4257,-106.8099
48.2033,-103.3576
47.1789,-107.2273
48.9131,-111.121
33.0264,-103.4227
25.6424,-95.2692
47.1397,-101.1964
33.4581,-103.1201
48.8976,-113.398
48.6374,-111.5868
48.33,-106.4622
33.5895,-101.1179
47.3339,-104.5205
48.9531,-111.9909
47.3827,-105.0258
48.5045,-114.0404
48.9754,-112.9494
38.173,-92.3341
48.8654,-112.309
48.8373,-113.6576
47.136,-109.2687
26.942,-99.1512
48.9484,-115.5437
48.8233,-115.3296
48.7629,-114.464
37.5182,-93.2508
48.1067,-103.2952
37.263,-91.5086
26.1996,-103.6461
48.7842,-116.0988
48.2624,-102.6142
26.0428,-98.795
47.3798,-107.8161
47.2358,-105.4197
47.4072,-103.75
38.1362,-96.5771
48.7204,-112.715
48.0568,-103.2841
37.4462,-92.2073
47.5858,-106.2096
47.321,-103.1179
48.4656,-109.2425
37.5017,-93.4414
30.5432,-94.9042
48.3626,-110.0782
48.1752,-103.8364
48.3988,-109.4887
48.6024,-111.9605
47.259,-104.88
47.3272,-107.2698
48.5551,-110.6613
26.1658,-102.1939
48.6741,-113.9618
42.4065,-80.2027
48.7878,-115.132
